Name,Busy,Idle,Tasks,Cost
r3,18,10,3,0.0
r1,29,16,4,0.0
r2,25,20,3,0.0
r3,22,23,4,0.0
r1,30,4,4,0.0
r2,17,17,3,0.0
r3,26,8,4,0.0
r1,20,19,4,0.0
r2,39,0,7,0.0
r3,32,7,6,0.0
r1,28,40,4,0.0
r2,41,27,6,0.0
r3,68,0,10,0.0
r1,17,9,4,0.0
r2,25,1,5,0.0
r3,20,6,5,0.0
r1,42,0,7,0.0
r2,38,4,6,0.0
r3,20,22,4,0.0
r1,11,32,2,0.0
r2,28,15,5,0.0
r3,38,5,7,0.0
r1,4,19,1,0.0
r2,21,2,4,0.0
r3,22,1,5,0.0
r1,37,2,5,0.0
r2,31,8,5,0.0
r3,12,27,2,0.0
r1,5,14,2,0.0
r2,6,13,3,0.0
r3,15,4,4,0.0
r1,35,16,6,0.0
r2,29,22,4,0.0
r3,43,8,7,0.0
r1,27,0,5,0.0
r2,27,0,5,0.0
r3,16,11,3,0.0
r1,29,5,4,0.0
r2,21,13,3,0.0
r3,26,8,4,0.0
r1,23,0,6,0.0
r2,20,3,6,0.0
r3,18,5,6,0.0
r1,27,14,4,0.0
r2,33,8,5,0.0
r3,30,11,4,0.0
r1,35,19,7,0.0
r2,46,8,8,0.0
r3,25,29,3,0.0
r1,27,21,5,0.0
r2,35,13,5,0.0
r3,42,6,6,0.0
r1,40,0,8,0.0
r2,12,28,3,0.0
r3,28,12,5,0.0
r1,23,11,3,0.0
r2,24,10,4,0.0
r3,24,10,4,0.0
r1,33,10,6,0.0
r2,43,0,8,0.0
r3,32,11,5,0.0
r1,39,12,6,0.0
r2,33,18,6,0.0
r3,31,20,5,0.0
r1,36,22,5,0.0
r2,39,19,5,0.0
r3,20,38,3,0.0
r1,13,6,3,0.0
r2,11,8,3,0.0
r3,19,0,4,0.0
r1,17,5,5,0.0
r2,8,14,3,0.0
r3,14,8,3,0.0
r1,45,19,7,0.0
r2,57,7,8,0.0
r3,52,12,8,0.0
r1,22,18,5,0.0
r2,31,9,7,0.0
r3,21,19,5,0.0
r1,33,0,5,0.0
r2,13,20,2,0.0
r3,16,17,3,0.0
r1,26,8,4,0.0
r2,34,0,5,0.0
r3,24,10,3,0.0
r1,43,11,6,0.0
r2,43,11,6,0.0
r3,53,1,6,0.0
r1,35,9,6,0.0
r2,34,10,7,0.0
r3,36,8,6,0.0
r1,23,8,4,0.0
r2,20,11,4,0.0
r3,23,8,5,0.0
r1,36,9,5,0.0
r2,40,5,6,0.0
r3,42,3,6,0.0
r1,23,15,5,0.0
r2,37,1,7,0.0
r3,17,21,4,0.0
r1,40,10,8,0.0
r2,32,18,5,0.0
r3,18,32,4,0.0
r1,38,18,5,0.0
r2,42,14,8,0.0
r3,40,16,7,0.0
r1,21,24,3,0.0
r2,40,5,7,0.0
r3,25,20,5,0.0
r1,68,0,10,0.0
r2,38,30,5,0.0
r3,40,28,6,0.0
r1,35,17,6,0.0
r2,47,5,7,0.0
r3,41,11,7,0.0
r1,28,21,5,0.0
r2,24,25,4,0.0
r3,25,24,3,0.0
r1,38,4,9,0.0
r2,22,20,7,0.0
r3,29,13,7,0.0
r1,17,7,4,0.0
r2,13,11,3,0.0
r3,18,6,3,0.0
r1,12,13,2,0.0
r2,25,0,4,0.0
r3,23,2,3,0.0
r1,33,22,5,0.0
r2,52,3,7,0.0
r3,47,8,7,0.0
r1,25,7,4,0.0
r2,32,0,7,0.0
r3,22,10,6,0.0
r1,27,5,4,0.0
r2,24,8,3,0.0
r3,24,8,3,0.0
r1,22,8,5,0.0
r2,24,6,6,0.0
r3,25,5,5,0.0
r1,5,17,2,0.0
r2,13,9,4,0.0
r3,22,0,5,0.0
r1,24,26,4,0.0
r2,41,9,8,0.0
